Generation,Run_1_Fitness,Run_2_Fitness
1,1.667,0.833
2,2.067,1.467
3,3.867,1.5
4,3.367,2.267
5,3.867,2.333
6,3.267,3.967
7,2.067,4.433
8,3.867,4.0
9,3.367,4.5
10,3.867,6.033
11,3.267,4.767
12,3.867,5.133
13,3.367,4.3
14,3.867,4.4
15,3.267,4.633
16,3.867,3.833
17,3.267,4.533
18,3.267,4.1
19,3.167,4.3
20,3.8,5.067
21,4.2,4.433
22,4.067,4.267
23,4.2,
24,3.7,
25,3.6,
26,4.133,
27,4.1,
28,3.1,
29,4.633,
30,4.833,
31,5.2,
32,5.333,
33,4.733,
34,4.2,
35,4.3,
36,4.8,
37,4.4,
38,5.5,
39,4.7,
40,5.233,
41,5.333,
42,4.867,
43,4.6,
44,4.867,
45,5.2,
46,5.7,
47,4.6,
48,5.033,
49,3.667,
50,3.933,
51,5.0,
52,4.667,
53,5.133,
54,4.267,
55,4.7,
56,5.033,
57,4.767,
58,4.833,
59,5.3,
60,4.3,
61,5.633,
