Generation,Prey_Fitness,Predator_Fitness
1,0.721,1.4
2,0.539,3.3
3,0.534,2.733
4,0.445,3.333
5,0.358,4.367
6,0.263,5.433
7,0.32,4.133
8,0.386,3.6
9,0.277,4.967
10,0.197,5.867
11,0.232,5.967
12,0.162,6.967
13,0.233,5.733
14,0.24,5.633
15,0.244,5.167
16,0.237,5.5
17,0.235,6.1
18,0.22,5.667
19,0.261,5.233
20,0.224,5.167
21,0.232,5.667
22,0.259,4.8
23,0.211,5.533
24,0.214,5.867
25,0.259,5.433
26,0.24,5.533
27,0.18,6.167
28,0.268,4.567
29,0.254,5.433
30,0.252,5.267
31,0.304,5.533
32,0.16,7.2
33,0.229,6.167
34,0.187,6.333
35,0.197,6.033
36,0.247,5.833
37,0.231,5.833
38,0.209,6.3
39,0.169,6.633
40,0.184,6.167
41,0.172,6.767
42,0.222,5.333
43,0.159,7.133
44,0.221,5.633
45,0.188,6.2
46,0.23,5.9
47,0.221,6.033
48,0.235,6.133
49,0.194,6.233
50,0.216,5.967
51,0.193,6.133
52,0.166,6.9
53,0.185,6.467
54,0.181,6.1
55,0.18,6.433
56,0.207,6.467
57,0.181,6.6
58,0.196,5.933
59,0.245,5.233
60,0.193,6.133
61,0.19,6.433
62,0.187,6.367
63,0.191,6.167
64,0.212,5.967
65,0.234,5.4
66,0.201,5.433
67,0.231,5.3
68,0.214,5.233
69,0.275,4.9
70,0.238,5.233
71,0.263,5.567
72,0.199,6.0
73,0.246,5.7
74,0.217,5.433
75,0.203,5.9
76,0.245,5.067
77,0.297,4.467
78,0.29,4.367
79,0.241,5.333
80,0.254,5.0
81,0.336,4.6
82,0.197,6.233
83,0.257,5.0
84,0.206,5.767
85,0.203,5.7
86,0.244,5.2
87,0.279,5.433
88,0.187,5.9
89,0.231,5.433
90,0.239,5.367
91,0.204,5.9
92,0.225,5.467
93,0.179,6.4
94,0.221,5.367
95,0.213,5.767
96,0.208,5.633
97,0.227,4.933
98,0.2,5.933
99,0.212,6.3
100,0.217,5.3
101,0.198,6.467
102,0.194,6.0
103,0.304,4.733
104,0.236,5.367
105,0.191,5.8
106,0.215,5.4
